,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
08-12,279.39,281.13,267.27,275.89,283.27,,278.46,271.13,273.05,286.85,285.53,276.63,268.58,281.09,
08-13,264.34,278.29,272.85,272.52,276.52,266.65999999999997,,269.6,288.46,286.83,274.57,267.76,,288.57,273.075
08-14,267.38,276.08,277.53499999999997,274.73,269.67,262.41,272.92,269.6,282.16,,277.7,,277.04,288.0,279.49
08-15,268.77,278.96,261.63,279.49,264.76,269.61,,274.38,288.55,272.605,280.44,277.86,282.17,276.03,277.02
08-16,282.21,281.08,266.18,271.78,,256.14,265.06,281.1,276.35,276.91,279.95,259.21,272.13,,277.9
08-17,265.09,277.36,264.89,276.11,272.99,275.18,,,280.28,280.24,,271.73,271.69,280.51,278.61
08-18,269.13,275.24,273.47,277.91,266.78,268.96,281.25,262.53499999999997,283.27,276.46,276.655,273.12,267.49,292.69,278.02
08-19,273.61,,275.14,270.74,266.6,,273.09,264.84,288.16,274.02,282.77,,272.24,280.19,
08-20,264.08,290.03,281.37,282.89,271.48,263.41,,268.29,,280.7,279.97,278.53,275.34,,270.74
08-21,259.7,283.26,267.70500000000004,266.53,271.47,273.05,270.06,266.03,278.045,285.79,280.24,282.64,268.76,273.41,278.34
08-22,263.72,273.9,254.8,267.72,274.8,262.09,,286.59,,266.38,280.1,269.01,,267.81,271.35
08-23,267.44,270.21,265.33,274.005,274.96,259.03,272.225,266.84,273.32,,281.98,272.9,276.1,279.08,274.03
