Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
05-02,112.4,127.686,99.75,82.9,104.757,78.077,75.618,101.452,81.7,74.943,86.314,89.083,88.41,101.979,56.317,57.089,83.5,61.564,54.8,62.56
05-03,100.943,97.775,104.645,91.125,56.0,61.618,91.944,88.182,86.184,78.156,114.886,47.759,87.919,84.1,63.8,84.067,104.735,70.106,79.514,74.265
05-04,98.735,94.941,99.675,95.1,55.321,76.324,97.971,93.25,94.15,84.4,106.686,68.8,78.864,85.022,69.667,83.733,104.857,71.08,81.0,74.936
05-05,98.2,99.286,75.425,87.075,82.053,91.057,105.629,82.765,85.925,77.8,78.818,75.684,80.694,93.356,69.179,95.073,103.72,67.509,54.88,71.0
05-06,95.457,99.025,100.625,85.026,52.95,94.343,108.515,90.286,87.0,76.559,84.429,65.267,72.975,91.682,85.167,76.911,80.34,79.673,44.909,58.22
05-07,97.914,34.243,113.35,105.2,67.974,93.575,110.629,89.3,94.371,60.633,89.818,71.741,76.128,105.28,44.219,61.578,80.625,84.982,38.333,57.8
05-08,89.543,82.375,104.139,126.743,91.974,96.45,102.029,80.846,104.314,65.371,97.75,88.4,76.575,96.292,12.355,59.388,67.84,82.944,20.609,58.205
05-09,86.457,61.462,82.722,132.125,82.575,106.895,111.8,91.057,88.553,73.314,100.294,100.952,85.65,97.478,69.581,79.94,80.873,85.84,68.7,59.085
05-10,118.75,68.842,96.9,118.25,69.45,97.154,110.324,83.143,100.205,87.057,73.387,94.963,79.056,95.82,87.6,90.067,90.68,82.32,75.86,69.426
05-11,110.85,75.875,112.533,97.025,87.325,88.205,57.684,66.229,100.538,76.9,84.882,102.739,76.147,94.082,90.28,70.372,91.727,85.58,77.489,83.26
05-12,128.675,64.8,109.333,82.6,107.974,87.794,70.237,70.771,87.484,81.484,84.667,109.64,80.081,87.6,79.72,55.64,81.691,83.14,86.74,88.064
05-13,106.795,62.973,75.172,81.757,116.118,107.031,79.233,81.242,86.306,69.613,84.371,97.385,81.225,50.841,76.067,63.24,72.46,78.309,88.16,88.244
05-14,99.525,74.45,63.897,104.545,76.027,87.949,82.9,68.591,87.324,82.714,78.097,97.767,47.1,59.683,52.178,62.255,69.392,74.48,73.133,88.32
05-15,64.35,78.125,40.235,99.568,64.711,114.371,63.769,69.882,59.029,64.121,81.735,94.0,65.056,84.16,53.45,68.875,72.54,86.868,71.044,87.444
05-16,53.051,61.703,106.781,108.154,69.872,91.615,65.538,71.629,66.857,66.938,62.844,75.708,69.971,94.72,64.4,75.38,61.822,87.891,65.067,81.778
05-17,86.175,70.714,119.718,84.625,75.4,105.0,68.0,86.75,96.639,53.467,70.143,75.538,76.853,85.08,66.533,73.073,55.979,99.28,66.62,71.822
05-18,123.105,93.825,71.1,65.825,81.182,90.41,73.371,77.343,63.316,29.731,76.964,76.765,65.0,89.38,70.4,73.279,88.778,99.345,73.755,74.533
05-19,124.171,96.125,75.8,84.205,74.919,73.029,80.241,88.914,63.575,52.5,83.296,83.059,68.0,94.469,61.667,85.408,83.13,98.145,80.436,74.82
05-20,123.9,98.55,65.513,74.925,67.25,61.85,79.3,91.286,80.2,69.4,94.969,91.657,68.8,83.733,80.409,73.541,83.667,100.964,82.273,89.023
05-21,102.7,99.9,71.432,63.675,82.222,71.225,79.225,75.156,17.5,56.676,84.576,92.425,64.75,93.044,84.525,77.886,101.34,92.18,73.519,96.761
05-22,79.514,54.575,78.675,63.833,84.645,76.6,79.474,80.656,69.658,64.086,82.794,88.788,52.941,90.581,81.156,54.93,89.58,92.535,74.64,88.595
05-23,54.744,53.875,88.6,62.286,74.571,111.636,80.054,71.273,68.436,64.6,80.771,82.067,59.378,89.622,56.775,74.88,98.96,91.54,82.714,88.732
05-24,88.872,112.0,82.842,72.543,68.771,96.333,73.8,85.4,86.375,89.844,88.8,87.25,67.205,79.0,66.4,58.04,82.915,90.021,76.979,83.4
05-25,120.41,62.062,80.825,82.543,92.629,90.472,87.051,77.0,92.294,92.706,77.143,92.857,90.605,75.0,57.044,70.209,92.34,81.082,61.792,76.36
05-26,99.457,57.939,74.4,72.133,86.744,95.675,91.359,72.529,98.235,90.742,85.914,85.568,95.975,67.333,55.175,57.854,84.96,80.571,72.06,73.12
05-27,125.05,65.433,70.667,69.939,92.575,81.909,96.675,67.571,80.194,90.219,64.029,82.243,81.359,52.273,69.732,76.38,91.595,81.98,75.889,76.771
05-28,100.225,104.853,67.5,62.0,87.395,87.625,71.314,64.147,78.6,86.68,72.219,80.974,72.325,62.545,59.244,66.795,89.86,79.978,73.951,80.711
05-29,56.533,87.447,68.675,65.371,94.108,104.515,71.0,77.161,52.941,85.118,85.714,86.725,85.3,66.383,69.533,61.816,87.78,64.8,60.565,87.933
05-30,98.714,103.212,81.359,76.525,47.154,80.444,67.586,82.969,63.171,72.784,93.429,96.568,80.818,65.152,58.286,51.889,81.08,52.92,57.477,84.0
05-31,77.333,91.154,83.5,80.433,77.075,85.389,67.676,63.065,70.1,64.275,102.156,66.55,69.143,45.429,47.745,41.244,80.56,46.457,56.5,66.243
06-01,93.05,72.95,88.075,83.4,65.571,90.265,48.818,65.161,68.25,66.968,95.771,46.179,69.333,54.511,58.111,53.286,85.52,40.72,72.844,46.644
06-02,93.05,90.525,108.559,44.857,29.774,92.818,71.562,74.458,63.3,57.059,99.8,69.105,77.2,42.72,49.204,58.16,68.82,47.74,65.24,30.889
06-03,87.41,78.282,97.75,23.242,44.641,95.886,47.486,87.0,56.575,63.282,91.206,78.1,83.257,41.438,51.756,62.163,62.958,70.644,43.939,29.2
06-04,60.943,102.636,122.174,49.033,45.925,85.95,40.971,74.385,63.417,64.949,93.676,69.333,77.371,56.106,37.364,75.224,56.873,81.022,58.872,35.026
06-05,91.371,88.895,85.8,42.036,18.75,96.85,33.7,86.217,72.314,63.605,82.294,54.25,81.974,69.18,29.286,35.939,65.564,71.452,82.091,41.469
06-06,90.867,90.475,74.429,79.8,40.256,89.676,54.133,85.724,83.3,62.857,83.5,68.0,79.457,74.76,23.0,50.56,79.782,70.312,81.068,61.978
06-07,60.943,112.2,55.152,82.167,33.1,85.065,54.941,86.559,67.303,73.871,82.879,72.371,73.436,70.6,25.86,62.067,72.0,78.891,82.651,77.526
06-08,34.914,91.0,60.075,85.333,25.075,96.091,72.771,71.172,58.971,84.088,75.763,84.0,81.946,76.42,48.66,68.022,84.587,71.593,61.889,71.68
